Finess;Année;Nombre de CDD de remplacement;Durée moyenne de séjour/d'accompagnement;Taux de réalisation de l’activité Tout ESMS (Hors services CAMSP et CMPP);Taux de réalisation de l’activité CAMSP et CMPP;Nombre moyen de journées d'absence des personnes accompagnées sur la période;File active des personnes accompagnées sur la période;Taux d'ETP vacants au 31/12;Taux de prestations externes sur les prestations directes;Taux de rotation du personnel sur effectifs réels;Taux d'absentéisme pour maladie ordinaire/courte durée;Taux d'absentéisme pour maladie moyenne durée;Taux d'absentéisme pour maladie longue durée;Taux d'absentéisme pour maternité/paternité;Taux d'absentéisme pour accident du travail / maladie professionnelle;Taux d'absentéisme pour congés spéciaux dont sans solde;Date d'entrée en vigueur du CPOM;Taux d'absentéisme (hors formation)
010001436;2023;3;169.3;;;;94;.000000000000000000000000000;.081800000000000000000000000;.052600000000000000000000000;.073200000000000000000000000;.000000000000000000000000000;.000000000000000000000000000;.000000000000000000000000000;.014200000000000000000000000;.001500000000000000000000000;;.088900000000000000000000000
010001436;2022;3;;;;;80;;.071300000000000000000000000;.052600000000000000000000000;.174000000000000000000000000;.048900000000000000000000000;.000000000000000000000000000;.000000000000000000000000000;.023800000000000000000000000;.000000000000000000000000000;;.246700000000000000000000000
010001436;2021;3;;;;;78;;.051200000000000000000000000;.000000000000000000000000000;.082500000000000000000000000;.000000000000000000000000000;.000000000000000000000000000;.000000000000000000000000000;.012400000000000000000000000;.000400000000000000000000000;;.095200000000000000000000000
010001436;2020;3;;;;;87;.000000000000000000000000000;.047000000000000000000000000;.142900000000000000000000000;.070400000000000000000000000;.000000000000000000000000000;.000000000000000000000000000;.000000000000000000000000000;.059000000000000000000000000;.000000000000000000000000000;;.129400000000000000000000000
010001436;2019;0.17;651.69;;;;93;.000000000000000000000000000;.065200000000000000000000000;.305600000000000000000000000;.037400000000000000000000000;.000000000000000000000000000;.000000000000000000000000000;.000000000000000000000000000;.059900000000000000000000000;.001200000000000000000000000;;.098400000000000000000000000
010001436;2018;;603;;;;94;.000000000000000000000000000;.092400000000000000000000000;.105300000000000000000000000;;;;;;;;.000000000000000000000000000
