Finess EJ;Finess;Année;MS Résultat net comptable CA PH;Taux de CAF CA PH;Taux vétusté Autres immo CA;Taux vétusté Construction CA;Taux vétusté installations tech mat outil CA;Nombre ETP total réalisé CA;MS Résultat net comptable CA PA;Charges CA PA;Produits CA PA;Recettes Groupe I CA;Recettes Groupe II CA;Recettes Groupe III CA;Dépenses Groupe I CA;Dépenses Groupe II CA;Dépenses Groupe III CA
010000735;010003598;2021;95999.209999999963;0.16460754444264256;;0.5319629026790017;;9.2200000000000006;;;;595042.94999999995;17724.380000000001;16484.099999999999;-16901.360000000001;-464929.67000000004;-51421.190000000002
010000735;010002269;2021;73128.079999999842;0.11776359918113584;;0.51376936316695354;;9.7100000000000009;;;;588568.68999999994;782.12;26733.739999999998;-16062.690000000001;-482402.46000000008;-44491.319999999992
010000735;010002269;2020;24730.649999999965;0.049315762194766362;;;;10.34;;;;583376.64000000001;511.08999999999997;24276.970000000001;-16114.09;-522700.76999999996;-44619.190000000002
010009058;010009066;2020;;;0.70311996831030177;0.31154835988672847;0.89755273428448812;3.9000000000000004;18887.12999999999;-177631.38999999998;196518.51999999999;;;;;;
010009058;010009066;2019;;;;;;3.9000000000000004;11986.649999999994;-207285.97000000003;219272.62;;;;;;
