Finess EJ;Finess ET;Année;Nombre d'ETP PM;Nombre d'ETP PNM;Dépenses d'intérim PM;Jours d'absentéisme PM;Jours d'absentéisme PNM;Dépenses Titre I Budget global;Dépenses Titre II Budget global;Dépenses Titre III Budget global;Dépenses Titre IV Budget global;Recettes Titre I Budget global;Recettes Titre II Budget global;Recettes Titre III Budget global;Recettes Titre IV Budget global;Dépenses Titre I Budget H;Dépenses Titre II Budget H;Dépenses Titre III Budget H;Dépenses Titre IV Budget H;Recettes Titre I Budget H;Recettes Titre II Budget H;Recettes Titre III Budget H;SAN Résultat net comptable;SAN Taux de CAF nette;Ratio de dépendance financière
010008407;010005239;2022;69.510119999999986;595.33764000000008;0;;;-38315470.489920005;-7262125.2101999987;-6790615.4500799999;-4168425.8000400001;39297655.289999999;4285276.0098000001;11830378.95984;1147590.1700400002;-30646439.360160001;-6752879.9099999983;-4136149.9500000002;-2960018.25;33641669.91996;2968985.1598800002;7910023.6198800011;24315.749399994413;2.1120000000000003E-2;0.44184000000000007
010008407;;2021;2.0000399999999998;219.59028000000004;0;;;-8855071.9100400023;-1702097.3504400002;-2962020.9200400007;-1049973.68988;6782078.2599600004;1365243.9400800001;5859482.2400399987;312202.34003999998;-2048552.5303200001;-363095.84015999996;-1091266.33008;-306963.91992000001;1500318.9999600004;165723.65999999997;2042000.8801200003;-247544.77019999945;-9.2399999999999982E-3;0.34164
010008407;010005239;2020;76.159800000000004;591.46980000000008;654731.25;451;17533;-39714875.189880006;-9714938.7098399997;-8957482.4900400005;-5257981.4698800007;39941246.860080004;7469151.2101200018;15572406.209999997;175225.28976000001;-32983079.770080004;-9397192.7499599997;-5860999.4600399993;-4707133.2999600004;35412455.59008;5760820.9600800015;11185621.609919997;-487130.65967999981;0.00396;0.72671999999999981
010008407;;2019;1.6100399999999992;134.24975999999995;0;;;-6388587.3598799994;-759828.06984000001;-3129326.580240001;-384180.90995999996;5222760.6999600008;855732.74004000006;4011375.4700399996;218494.86995999998;-2897982.9500399996;-242136.75;-888301.09020000021;-349849.98995999998;1927353.7299600004;164517.59999999998;2322363.7799999998;-330217.60992000037;-5.7600000000000012E-3;0
010008407;;2017;4.09992;122.34984;0;;;-5932308.5200800011;-406173.92999999999;-986091.39984000043;-509295.81;5791403.0000400012;687793.28003999987;1235483.1899999999;0;-5932308.5200800011;-406173.92999999999;-986091.39984000043;-509295.81;5791403.0000400012;687793.28003999987;1235483.1899999999;-119190.18984000012;4.4400000000000004E-3;0.17579999999999998
