"IDENTIFIANT";"N° FINESS/RPPS";"ANNEE_DE_RECEPTION";"ENCOURS_NB_RECLA_TOTAL";"ENCOURS_NB_RECLA_MOTIF_10";"ENCOURS_NB_RECLA_MOTIF_11";"ENCOURS_NB_RECLA_MOTIF_12";"ENCOURS_NB_RECLA_MOTIF_13";"ENCOURS_NB_RECLA_MOTIF_14";"ENCOURS_NB_RECLA_MOTIF_15";"ENCOURS_NB_RECLA_MOTIF_16";"ENCOURS_NB_RECLA_MOTIF_17";"ENCOURS_NB_RECLA_MOTIF_18";"ENCOURS_NB_RECLA_MOTIF_19";"ENCOURS_NB_RECLA_MOTIF_155";"ENCOURS_NB_RECLA_MOTIF_156";"CLOT_NB_RECLA_TOTAL";"CLOT_NB_RECLA_MOTIF_10";"CLOT_NB_RECLA_MOTIF_11";"CLOT_NB_RECLA_MOTIF_12";"CLOT_NB_RECLA_MOTIF_13";"CLOT_NB_RECLA_MOTIF_14";"CLOT_NB_RECLA_MOTIF_15";"CLOT_NB_RECLA_MOTIF_16";"CLOT_NB_RECLA_MOTIF_17";"CLOT_NB_RECLA_MOTIF_18";"CLOT_NB_RECLA_MOTIF_19";"CLOT_NB_RECLA_MOTIF_155";"CLOT_NB_RECLA_MOTIF_156"
;"020000097";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000162";;7;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000188";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000279";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000386";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000394";;7;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020000402";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020000469";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000493";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020000519";;5;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000527";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000535";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020000543";;5;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020000915";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020001061";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020001087";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020001855";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020002101";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002143";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002176";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020002184";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002242";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002440";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020002507";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020002580";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003646";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003695";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020003786";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020004008";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020004222";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020004487";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020004503";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020004669";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020004693";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020004701";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020004719";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020004776";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020005369";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020005476";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020006664";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020007274";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020007282";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020007290";;;;;;;;;;;;;;;7;;;;;;;;;;;;
;"020007308";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020008447";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020008637";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020008827";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020009023";;2;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020009114";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020009163";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020009197";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020009247";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020009593";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020009932";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020010369";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020012795";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020013033";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020013058";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020013348";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020014247";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020014460";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020014502";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020014569";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020014882";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020016234";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020016333";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020016614";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020016887";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020017745";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210004859";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"210004982";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210005039";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"210005948";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210006938";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"210010443";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210010880";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210011847";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210012472";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210012670";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"210013447";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210780292";;1;;;;;;;;;;;;;3;;;;;;;;;;;;
;"210780458";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210780565";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210780789";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210780953";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210780961";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210781118";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"210781589";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210950036";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"210950101";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"210950119";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210950127";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210982138";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"210983409";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210983565";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"210983987";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210984407";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"210984415";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210984704";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210985362";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210985446";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210986089";;1;;;;;;;;;;;;;19;;;;;;;;;;;;
;"210986170";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210986741";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210987046";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"210987558";;1;;;;;;;;;;;;;12;;;;;;;;;;;;
;"210987608";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210987632";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"210987657";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"210987665";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"210987681";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"210987699";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"220000012";;13;;;;;;;;;;;;;18;;;;;;;;;;;;
;"220000095";;;;;;;;;;;;;;;5;;;;;;;;;;;;
;"220000194";;;;;;;;;;;;;;;;;;;;;;;;;;;
;"220000236";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220000319";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220000327";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220000343";;;;;;;;;;;;;;;5;;;;;;;;;;;;
;"220000368";;1;;;;;;;;;;;;;7;;;;;;;;;;;;
;"220000475";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"220000525";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220000533";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220000541";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220000574";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220000608";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220000616";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220003933";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220003974";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"220004006";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220004071";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220004139";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220004147";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220004154";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"220004394";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220004535";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220004568";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220004626";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"220005037";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220005151";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220005433";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220005524";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220005540";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220005599";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220005631";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"220006407";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220006464";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220006514";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"220006597";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220006712";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220006753";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220006837";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"220006878";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220006936";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"220007686";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220007702";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220012892";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220013395";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220013775";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220013957";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220013965";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220014633";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220014815";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"220014823";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220014880";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220014997";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"220016166";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"220016182";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220016216";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"220016232";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220016463";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220016976";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220018196";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220018808";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220019277";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220019426";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"220019640";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"220020143";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220020184";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220022800";;3;;;;;;;;;;;;;1;;;;;;;;;;;;
;"220024293";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"230000168";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"230000200";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"230000283";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"230000820";;5;;;;;;;;;;;;;10;;;;;;;;;;;;
;"230000838";;1;;;;;;;;;;;;;3;;;;;;;;;;;;
;"230000846";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"230000853";;2;;;;;;;;;;;;;3;;;;;;;;;;;;
;"230000952";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"230000960";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"230004129";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"230004657";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"230780082";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"230780181";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"230780256";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"230780264";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"230780272";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"230780314";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"230781627";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"230781650";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"230781668";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"230781916";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"230782492";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"230782674";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"230782716";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240000190";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"240000208";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240000356";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240000372";;1;;;;;;;;;;;;;6;;;;;;;;;;;;
;"240000406";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"240000463";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240000471";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240000489";;5;;;;;;;;;;;;;21;;;;;;;;;;;;
;"240000687";;1;;;;;;;;;;;;;6;;;;;;;;;;;;
;"240002071";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"240002162";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240002204";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240002212";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240002246";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240002337";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"240004184";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240004341";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240004390";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240004408";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"240006973";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240007617";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240007674";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240007682";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240007690";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"240007823";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"240008136";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"240008565";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240008755";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240009084";;1;;;;;;;;;;;;;4;;;;;;;;;;;;
;"240009407";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240009449";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240011767";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240013029";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240015131";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"240016345";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250000270";;1;;;;;;;;;;;;;4;;;;;;;;;;;;
;"250000635";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250000700";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"250000718";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"250000759";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"250001252";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250002102";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"250002128";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250002888";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250004041";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250004165";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250004215";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250004264";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250004322";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"250005485";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250006954";;4;;;;;;;;;;;;;15;;;;;;;;;;;;
;"250007309";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"250007614";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250009651";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250010444";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250010568";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"250011848";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"250016037";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"250016219";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250018843";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"250019452";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"250019718";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"250021078";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260000013";;13;;;;;;;;;;;;;20;;;;;;;;;;;;
;"260000120";;1;;;;;;;;;;;;;3;;;;;;;;;;;;
;"260000138";;4;;;;;;;;;;;;;10;;;;;;;;;;;;
;"260000146";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"260000203";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"260000229";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260000260";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"260000286";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260000302";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260000419";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"260000476";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260000492";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260000823";;2;;;;;;;;;;;;;4;;;;;;;;;;;;
;"260000898";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260000906";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260001847";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260002068";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260003017";;1;;;;;;;;;;;;;3;;;;;;;;;;;;
;"260003280";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260003363";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260005061";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260005236";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260005244";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260005418";;;;;;;;;;;;;;;4;;;;;;;;;;;;
;"260005426";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260005434";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260005442";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260005525";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"260005533";;2;;;;;;;;;;;;;3;;;;;;;;;;;;
;"260005566";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260005582";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"260005616";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"260005624";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260005681";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260006028";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260006184";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260006416";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260006424";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260006705";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260008909";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260009162";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"260009170";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260009188";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"260009196";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260009311";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260010152";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260010467";;2;;;;;;;;;;;;;3;;;;;;;;;;;;
;"260011044";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260011986";;2;;;;;;;;;;;;;2;;;;;;;;;;;;
;"260012208";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"260013107";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260014311";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260014329";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260014378";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260016159";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"260017454";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"260017462";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260017991";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260018114";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260019872";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"260022546";;2;;;;;;;;;;;;;3;;;;;;;;;;;;
;"270000029";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"270000045";;2;;;;;;;;;;;;;5;;;;;;;;;;;;
;"270000227";;3;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000235";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000250";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270000268";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"270000292";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"270000326";;6;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270000342";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000359";;9;;;;;;;;;;;;;13;;;;;;;;;;;;
;"270000367";;3;;;;;;;;;;;;;5;;;;;;;;;;;;
;"270000391";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270000417";;3;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270000425";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000433";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000441";;2;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270000458";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000474";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000573";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000714";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"270000722";;1;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270000730";;5;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270000748";;1;;;;;;;;;;;;;3;;;;;;;;;;;;
;"270000755";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000789";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"270000847";;2;;;;;;;;;;;;;6;;;;;;;;;;;;
;"270000862";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"270000870";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270000912";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270000920";;4;;;;;;;;;;;;;3;;;;;;;;;;;;
;"270000979";;4;;;;;;;;;;;;;5;;;;;;;;;;;;
;"270001027";;3;;;;;;;;;;;;;4;;;;;;;;;;;;
;"270002066";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270002082";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"270002116";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270002249";;3;;;;;;;;;;;;;4;;;;;;;;;;;;
;"270002306";;5;;;;;;;;;;;;;6;;;;;;;;;;;;
;"270002322";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"270002355";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270002389";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270002470";;3;;;;;;;;;;;;;6;;;;;;;;;;;;
;"270002488";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270003189";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270003577";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270003692";;3;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270007909";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270008378";;5;;;;;;;;;;;;;;;;;;;;;;;;;
;"270008386";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"270008394";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270008402";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270008410";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"270008477";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270008634";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270008659";;3;;;;;;;;;;;;;;;;;;;;;;;;;
;"270008675";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"270008691";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270008766";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270009053";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270009079";;2;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270009095";;4;;;;;;;;;;;;;1;;;;;;;;;;;;
;"270009103";;;;;;;;;;;;;;;6;;;;;;;;;;;;
